participant_id,group,hours,measurement_before,measurement_after
1,B,2.34,62.38,70.2
2,A,4.01,56.17,62.92
3,A,3.7,48.95,54.28
4,B,2.56,41.98,42.4
5,A,2.1,37.81,43.86
6,A,4.42,66.35,65.55
7,A,2.23,41.99,51.71
8,A,3.37,64.71,69.3
9,A,2.51,66.37,67.41
10,B,2.39,59.09,60.21
11,B,3.41,32.48,37.66
12,B,1.06,54.2,59.09
13,B,2.21,50.33,49.7
14,B,1.5,58.75,55.87
15,A,3.13,50.49,62.08
16,B,3.01,43.93,43.75
17,A,2.79,42.87,42.46
18,A,2.51,41.23,45.71
19,B,4.77,41.63,41.01
20,B,0.5,51.38,46.48
21,A,1.95,45.45,44.44
22,A,3.81,51.07,56.46
23,A,4.52,63.07,70.84
24,A,2.23,50.01,50.24
25,A,3.49,45.72,48.55
26,B,4.06,68.56,66.53
27,A,2.64,45.91,54.54
28,A,0.5,43.77,48.53
29,B,1.51,37.97,42.65
30,B,3.35,43.41,42.72
31,B,2.83,60.0,64.66
32,B,2.76,45.08,49.85
33,A,2.79,52.24,57.58
34,B,3.67,40.45,43.94
35,B,4.15,40.0,44.18
36,A,2.36,56.63,56.67
37,B,4.89,40.36,44.4
38,B,3.54,42.43,46.05
39,B,2.37,55.71,58.37
40,B,3.99,53.94,58.91
41,B,3.03,51.24,52.14
42,B,3.7,36.66,38.9
43,B,3.93,50.67,50.93
44,A,2.65,46.92,44.98
45,B,1.43,51.99,52.8
46,B,1.08,25.0,39.37
47,A,3.15,43.96,44.82
48,A,2.29,47.79,49.96
49,B,0.5,42.23,36.87
50,A,2.89,48.23,45.98
51,A,1.68,52.17,54.04
52,A,4.22,42.79,54.45
53,B,1.67,56.08,61.32
54,B,1.9,55.33,53.93
55,B,4.75,64.36,73.3
56,A,1.7,50.84,50.64
57,A,3.14,50.11,57.05
58,A,3.47,65.94,78.31
59,A,2.15,54.47,53.12
60,B,4.62,48.22,51.32
61,B,1.61,37.68,33.68
62,B,1.59,38.91,39.23
63,A,2.74,60.74,64.26
64,A,2.67,56.03,65.06
65,A,2.92,44.28,43.34
66,B,3.65,38.04,48.74
67,A,2.66,50.04,50.88
68,A,4.45,51.78,57.98
69,B,5.42,63.41,64.31
70,A,2.83,69.41,67.93
71,B,3.54,58.96,59.68
72,A,2.98,62.95,73.36
73,A,2.65,55.55,59.88
74,A,2.08,60.89,59.63
75,A,1.65,41.23,38.49
76,A,2.85,25.68,27.56
77,A,4.47,63.67,69.37
78,A,1.5,33.45,33.46
79,B,2.35,48.8,48.25
80,A,5.05,61.16,66.12
81,A,3.22,44.35,39.9
82,B,2.55,47.62,49.15
83,A,4.19,45.25,50.23
84,A,2.51,35.72,30.81
85,A,4.65,44.74,45.7
86,A,5.26,25.0,34.3
87,B,3.1,42.82,45.42
88,B,2.73,61.63,64.97
89,A,3.17,60.09,58.56
90,A,4.87,53.6,59.81
91,A,2.44,57.6,67.07
92,A,2.93,42.47,44.79
93,A,2.37,64.93,67.46
94,B,4.52,52.79,59.03
95,A,5.28,49.37,53.46
96,B,2.26,48.52,39.34
97,B,1.84,48.63,42.25
98,B,0.96,25.0,27.97
99,B,4.38,52.01,53.16
100,A,4.05,42.91,44.08
101,A,3.95,40.12,54.11
102,A,2.18,50.94,47.39
103,A,3.12,66.12,71.0
