participant_id,group,hours,measurement_before,measurement_after
1,A,2.31,39.46,45.64
2,B,2.59,52.19,56.54
3,B,3.32,56.68,63.43
4,B,5.84,52.63,62.29
5,A,1.93,49.49,53.74
6,B,2.7,53.91,56.63
7,B,4.06,69.66,75.91
8,B,4.34,39.66,44.56
9,A,4.64,36.46,42.96
10,B,2.94,39.81,43.48
11,B,4.43,65.39,76.62
12,B,4.89,43.33,50.02
13,B,4.79,46.41,52.64
14,B,2.52,55.91,62.19
15,A,2.86,30.35,38.94
16,B,1.99,48.6,49.97
17,A,2.44,46.94,49.97
18,A,1.51,57.03,63.14
19,A,3.38,50.16,53.71
20,A,5.18,42.55,51.39
21,A,2.97,64.58,68.95
22,B,3.68,58.67,65.04
23,A,1.79,38.1,42.47
24,B,4.32,48.61,56.56
25,B,1.68,41.42,41.97
26,B,4.04,56.77,62.3
27,A,5.57,56.52,65.35
28,B,2.71,52.18,54.95
29,B,2.13,55.94,59.54
30,B,4.36,48.64,56.91
31,A,5.13,33.89,44.99
32,B,5.45,55.49,66.94
33,A,4.78,53.15,63.41
34,A,4.35,45.0,54.21
35,B,3.14,46.99,50.92
36,B,2.66,51.45,55.89
37,B,2.02,57.43,61.75
38,B,3.7,37.21,47.55
39,A,2.73,65.38,67.99
40,A,2.51,63.44,67.03
41,B,4.74,67.69,77.31
42,A,2.52,43.27,47.19
43,A,3.9,45.08,52.58
44,A,2.89,52.71,59.41
45,A,3.16,52.54,58.68
46,A,4.23,47.51,58.09
47,A,2.53,58.06,62.07
48,B,3.86,53.49,59.55
49,A,3.99,31.89,38.35
50,A,4.26,35.17,46.28
51,B,4.47,51.38,59.22
52,B,3.2,60.32,66.81
53,B,4.43,52.34,60.8
54,B,3.92,64.24,71.84
55,B,1.88,52.82,54.66
56,A,1.91,56.29,65.12
57,A,3.95,52.21,57.62
58,A,1.38,31.63,34.92
59,B,2.58,50.1,56.75
60,A,2.51,35.94,39.44
61,B,3.26,45.84,55.05
62,A,3.69,51.33,59.43
63,B,5.18,45.32,55.67
64,B,4.7,74.46,79.49
65,A,2.6,48.56,52.27
66,B,3.98,41.93,48.78
67,B,5.08,67.05,73.81
68,A,3.09,32.46,38.12
69,B,0.66,39.15,37.89
70,B,2.6,51.41,58.08
71,A,3.91,45.98,52.5
72,B,1.0,61.7,67.2
73,B,5.58,52.05,65.02
74,A,2.57,25.0,33.77
75,A,2.55,49.94,56.85
76,B,2.41,57.48,61.09
77,A,4.13,62.23,67.45
78,B,2.52,50.99,53.58
79,A,2.91,61.56,70.08
80,B,2.88,52.16,56.33
81,A,4.19,48.95,55.41
82,B,4.14,48.55,54.22
83,B,2.45,51.05,57.92
84,B,3.99,48.38,54.48
85,A,2.37,38.68,41.77
86,A,3.47,51.43,54.64
87,A,2.62,38.75,44.77
88,A,4.18,46.45,53.08
89,B,2.4,59.45,63.41
90,B,3.38,53.99,60.78
91,A,1.5,48.22,50.95
92,A,2.67,52.19,58.78
93,A,4.07,38.94,48.33
94,B,0.7,66.07,66.1
95,B,3.43,43.39,51.3
96,A,2.3,49.66,56.04
97,A,3.2,55.7,66.33
98,A,2.37,47.09,51.16
99,A,3.85,34.28,43.55
100,B,3.75,43.81,48.23
101,A,4.29,42.11,52.91
102,B,2.76,34.5,36.6
103,B,4.48,57.55,63.4
104,A,2.34,43.66,48.85
105,A,3.35,39.43,41.3
106,A,1.64,52.74,58.4
107,A,4.65,34.5,42.1
108,A,5.16,50.23,58.25
109,A,3.36,66.29,71.59
110,B,2.71,68.91,75.11
111,A,3.83,42.7,52.26
112,A,3.1,60.21,67.17
113,B,3.2,57.65,61.09
114,A,3.67,50.54,58.58
115,B,2.66,54.92,58.56
116,B,2.44,57.86,60.88
117,A,5.16,53.76,62.77
118,A,3.32,57.29,61.91
119,A,2.57,49.0,52.37
120,B,1.07,38.44,42.61
121,A,3.39,47.96,53.03
122,A,3.06,43.26,52.0
123,B,0.71,53.46,52.83
124,A,4.76,49.81,58.74
125,B,2.11,32.21,40.12
126,A,3.09,51.23,59.21
127,B,3.58,47.82,51.61
128,B,2.71,42.21,45.04
129,B,3.39,39.35,45.29
130,A,2.57,46.11,52.62
131,B,3.79,52.13,57.57
132,B,4.44,47.52,52.31
133,B,2.97,48.12,51.77
134,B,4.26,39.33,44.76
135,A,5.19,56.91,70.48
136,A,0.63,48.87,52.18
137,B,4.28,52.26,58.82
138,B,3.8,51.6,58.81
139,A,2.08,45.09,50.64
140,B,1.64,47.85,53.16
141,A,4.29,48.61,56.07
142,A,3.98,59.79,65.99
143,A,2.63,53.36,60.47
144,B,2.45,41.76,46.26
145,A,2.44,40.12,44.92
146,A,1.86,33.7,37.09
147,B,2.19,48.07,52.18
148,A,4.06,65.64,75.62
149,B,3.88,61.91,62.3
150,A,2.91,58.69,65.8
151,A,3.6,45.95,53.78
152,A,3.16,47.33,58.91
153,B,3.5,51.16,57.96
154,B,2.88,52.54,55.79
155,B,3.53,59.2,65.36
156,A,2.74,46.35,52.45
157,B,5.49,48.32,58.42
158,A,3.56,50.03,57.76
159,A,4.24,54.38,60.03
160,B,3.35,55.06,57.21
161,A,4.87,46.05,57.48
162,A,5.09,65.06,75.61
163,A,2.77,52.48,55.9
164,A,4.35,36.79,43.56
165,A,2.87,48.41,56.88
166,B,0.9,62.6,58.98
167,A,3.33,63.75,70.07
168,B,3.23,46.52,49.54
169,B,4.5,43.78,50.96
170,B,4.11,52.55,58.28
171,A,3.69,62.05,70.31
172,B,4.27,53.71,61.11
173,A,3.39,67.56,76.3
174,B,1.41,56.67,58.58
175,A,4.45,53.85,64.08
176,A,4.06,38.62,50.76
177,B,5.41,48.82,57.13
178,A,3.69,51.9,60.28
179,A,3.23,61.45,67.87
180,B,2.34,41.48,43.48
181,B,3.99,40.25,45.1
182,B,0.76,50.26,46.28
183,A,3.44,52.98,60.9
184,B,3.43,49.43,54.29
185,B,4.49,62.68,65.25
186,A,1.63,53.4,56.35
187,A,2.27,34.62,39.94
188,A,4.62,41.44,54.28
189,A,3.63,50.09,61.16
190,B,4.87,39.92,47.38
191,A,5.68,41.14,50.98
192,A,1.03,51.12,50.76
193,A,3.99,59.32,67.25
194,A,5.38,54.83,66.73
195,B,2.83,38.01,39.79
