participant_id,group,hours,measurement_before,measurement_after
1,B,3.81,52.24,58.58
2,A,0.83,39.49,41.23
3,A,1.4,39.84,44.22
4,A,3.2,65.36,68.69
5,B,2.48,48.57,53.98
6,B,3.61,50.33,52.09
7,B,2.19,66.08,69.34
8,A,3.87,56.56,58.85
9,B,4.47,54.09,53.57
10,A,3.0,45.66,50.92
11,B,4.14,47.14,48.21
12,A,1.81,55.67,59.71
13,B,1.7,46.06,50.45
14,A,5.0,50.22,53.27
15,B,2.25,45.96,51.41
16,A,4.54,49.06,50.24
17,A,1.95,46.67,49.48
18,B,1.24,48.56,52.03
19,B,1.23,50.22,53.81
20,A,0.68,45.58,48.93
21,B,1.73,62.13,63.72
22,B,2.73,37.33,41.89
23,A,2.56,44.34,47.61
24,B,2.95,56.85,64.49
25,B,3.58,51.92,60.51
26,B,4.99,60.37,64.41
27,A,3.42,48.92,53.83
28,B,4.4,52.07,53.66
29,B,3.58,45.0,46.65
30,B,4.92,54.66,57.86
31,A,3.83,46.56,45.9
32,B,1.91,60.4,61.59
33,B,4.75,33.85,39.16
34,A,3.37,55.42,54.86
35,B,2.31,59.45,63.39
36,A,3.39,35.71,44.82
37,B,3.5,47.86,49.22
38,A,1.68,42.38,49.63
39,B,3.23,47.46,55.45
40,B,4.02,41.82,43.78
41,B,2.59,46.11,50.83
42,B,4.53,40.2,42.27
43,A,3.49,45.24,47.04
44,B,2.21,42.17,48.22
45,B,3.77,38.32,42.2
46,A,0.5,36.16,43.03
47,A,4.66,64.45,64.98
48,B,2.58,49.78,53.82
49,A,4.57,28.22,26.78
50,A,3.72,45.67,43.54
51,A,4.24,70.36,69.02
52,A,2.87,51.24,52.07
53,A,3.56,66.82,69.85
54,B,5.04,43.95,44.28
55,B,4.38,43.8,44.39
56,A,3.85,56.19,59.18
57,A,4.91,44.41,48.88
58,A,1.32,49.16,53.25
59,B,3.46,62.13,68.8
60,A,4.06,44.05,45.98
61,A,2.33,41.79,42.26
62,B,1.35,39.09,42.99
63,B,1.72,63.95,69.83
64,A,2.39,62.12,64.08
65,A,1.48,53.11,54.35
66,B,3.67,45.72,45.24
67,A,5.21,52.21,52.63
68,A,1.82,53.59,57.93
69,A,3.72,45.47,49.33
70,A,3.29,61.2,65.26
71,A,3.67,38.91,41.27
72,A,2.99,64.51,67.28
73,A,1.22,60.92,64.49
74,A,1.92,56.01,59.42
75,B,4.87,50.32,48.91
76,B,4.1,37.56,41.38
77,A,3.68,53.68,56.56
78,A,3.92,41.16,36.76
79,A,4.02,41.21,48.7
80,B,4.18,43.52,44.5
81,B,4.0,26.96,29.81
82,B,3.19,60.59,60.59
83,A,3.78,40.1,41.97
84,A,1.23,52.52,57.25
85,A,2.94,62.64,63.85
86,B,1.3,44.21,49.07
87,A,3.71,59.34,59.26
88,A,4.6,50.65,52.17
89,A,3.74,52.38,57.65
90,A,3.24,36.37,38.74
91,B,3.65,25.0,26.54
92,B,3.16,51.85,53.78
93,B,4.02,58.87,54.85
94,A,2.3,42.24,43.95
95,B,4.09,51.73,52.44
96,A,2.83,49.3,51.07
97,B,4.63,45.51,46.52
98,B,1.83,59.38,62.48
99,B,3.15,33.53,39.6
100,B,3.2,58.68,65.12
101,B,2.66,61.26,64.43
102,A,1.78,36.73,42.39
103,B,2.19,49.76,52.61
104,A,4.8,66.12,64.24
105,B,2.74,74.85,78.42
106,B,4.29,57.01,58.51
107,B,2.4,49.54,53.26
108,B,4.82,46.45,47.04
109,A,3.76,49.41,52.78
110,B,1.75,45.84,51.13
111,A,5.13,52.72,52.49
112,A,4.27,39.21,38.56
113,B,3.5,48.89,51.41
114,A,3.23,64.4,71.44
115,B,3.87,38.42,42.2
116,A,4.28,41.39,44.37
117,B,5.25,42.59,43.41
118,A,3.88,46.32,48.5
119,A,4.04,52.35,50.82
120,B,4.59,54.74,58.6
121,A,3.68,53.65,56.13
122,B,2.06,43.95,49.53
123,B,1.46,45.26,52.79
124,A,4.18,48.53,52.61
125,A,3.94,53.03,51.23
126,B,3.91,56.41,59.13
127,B,3.68,38.5,42.92
128,A,2.14,64.11,68.35
129,B,2.96,59.26,62.65
130,A,4.81,48.15,48.19
131,B,5.77,57.87,59.72
132,B,2.81,55.06,60.42
133,A,1.78,43.58,45.04
134,B,2.5,35.06,40.32
135,B,3.62,51.84,53.94
136,A,2.01,39.94,46.51
137,A,3.55,44.75,43.76
138,B,5.39,75.0,78.81
139,B,3.1,32.41,37.5
140,A,3.82,31.99,35.62
141,A,3.35,54.54,60.57
142,B,4.25,59.04,57.78
143,B,3.51,52.64,54.76
144,A,3.77,66.07,72.08
145,B,1.0,57.46,63.86
146,B,2.52,55.69,56.61
147,A,4.69,53.64,54.72
148,A,4.06,49.46,49.28
149,B,2.8,50.64,53.83
150,B,3.36,56.24,62.61
151,B,3.78,60.41,62.75
152,A,3.67,44.65,47.65
153,A,2.03,47.59,48.32
154,A,5.56,44.0,42.66
155,A,3.96,65.73,69.73
156,A,1.99,30.18,28.94
157,B,2.75,60.53,66.6
158,A,3.44,62.69,67.77
159,A,3.46,45.74,48.68
160,A,2.06,75.0,81.12
161,B,2.27,43.43,45.25
162,A,2.47,67.2,73.62
163,B,3.58,53.45,56.81
164,A,4.22,64.27,67.84
165,A,2.54,47.29,50.8
166,B,3.24,54.79,57.03
167,B,5.28,59.64,59.46
168,A,3.53,39.88,47.36
169,A,4.24,56.77,57.84
170,B,2.61,51.93,52.87
171,B,2.47,57.11,61.51
172,A,4.34,44.94,43.38
173,A,2.93,40.34,41.8
174,A,2.47,54.86,60.69
175,B,5.25,46.75,46.85
176,A,4.39,55.08,55.02
177,A,3.41,46.41,47.97
