participant_id,group,hours,measurement_before,measurement_after
1,A,4.83,36.64,40.26
2,A,3.68,43.26,43.24
3,B,4.02,47.67,51.71
4,A,4.3,49.21,52.94
5,B,3.89,40.3,45.15
6,A,2.72,54.14,56.43
7,B,4.02,47.52,50.52
8,A,3.06,43.17,44.24
9,B,3.76,60.34,68.79
10,A,2.76,35.73,37.44
11,A,2.51,68.13,68.61
12,A,2.38,55.28,58.26
13,A,3.64,48.11,50.59
14,B,1.21,38.47,40.58
15,A,3.43,34.82,34.23
16,A,2.06,45.91,47.21
17,A,2.94,33.12,32.02
18,A,3.69,38.46,40.31
19,A,3.26,31.73,34.62
20,A,2.67,64.81,61.72
21,A,3.3,56.32,58.51
22,A,2.85,50.83,48.59
23,B,2.77,48.39,57.01
24,A,4.8,49.37,51.39
25,A,4.68,59.88,62.34
26,A,3.99,75.0,75.12
27,B,3.12,53.65,59.35
28,B,2.63,52.61,56.61
29,A,3.19,41.06,41.63
30,B,3.3,47.44,51.12
31,B,1.18,53.36,58.55
32,B,2.6,59.97,60.95
33,A,2.42,48.14,48.9
34,B,1.15,51.96,57.84
35,B,4.22,51.84,58.64
36,A,3.53,39.0,38.28
37,A,3.28,45.66,44.49
38,A,2.83,32.62,29.67
39,A,2.47,55.27,56.66
40,B,2.85,69.89,74.55
41,B,3.03,39.62,44.11
42,A,3.92,40.72,38.77
43,A,3.23,50.64,48.45
44,A,3.81,28.86,29.73
45,A,3.26,51.67,48.48
46,B,2.85,43.87,44.7
47,A,1.9,51.23,48.68
48,B,3.6,51.24,54.79
49,A,3.19,58.42,59.69
50,B,5.07,45.99,50.96
51,A,3.52,49.45,48.32
52,B,3.77,42.02,43.89
53,B,2.61,48.96,54.5
54,B,3.85,50.25,54.6
55,B,3.31,51.86,58.94
56,B,3.86,57.77,61.49
57,B,3.87,49.66,55.84
58,A,2.56,60.54,64.72
59,A,4.54,42.44,43.09
60,B,2.0,49.98,49.96
61,A,4.56,62.46,64.7
62,A,2.14,53.2,55.76
63,B,3.63,60.47,66.11
64,A,5.49,54.2,54.9
65,A,1.82,57.63,55.04
66,A,3.53,50.27,51.64
67,B,5.9,48.43,55.23
68,B,2.5,48.35,48.15
69,A,2.59,27.37,26.17
70,A,4.33,53.82,57.85
71,A,4.01,59.28,60.57
72,A,3.52,57.56,57.59
73,A,4.58,49.12,50.25
74,A,2.62,51.13,50.26
75,B,2.41,51.39,58.48
76,B,3.19,56.55,63.0
77,A,5.02,52.01,52.37
78,B,4.6,29.23,30.33
79,A,3.91,52.64,53.1
80,B,2.38,46.29,54.7
81,B,4.58,68.3,74.47
82,B,2.72,60.15,65.74
83,A,2.66,59.51,58.84
84,B,2.32,36.14,39.22
85,A,3.27,45.73,43.46
86,A,1.93,40.31,40.46
87,A,4.28,55.28,56.64
88,B,4.88,57.79,62.02
89,B,3.66,58.33,64.87
90,A,4.11,46.74,47.7
91,B,3.64,46.4,54.97
92,B,5.06,50.33,55.94
93,B,1.41,65.87,71.67
94,B,3.2,48.89,51.42
95,A,0.5,53.45,56.82
96,A,4.8,47.87,49.77
97,A,5.79,71.83,74.73
98,A,3.89,46.06,48.92
99,A,3.13,37.46,39.64
100,A,3.35,48.66,48.41
101,A,4.49,58.39,57.03
102,B,3.17,57.41,62.09
103,B,4.59,36.22,37.3
104,B,2.69,52.1,51.51
105,B,3.98,59.75,59.42
106,A,1.33,52.03,56.22
107,A,1.94,59.16,61.68
108,A,0.51,50.13,50.74
109,B,3.1,36.31,41.55
110,B,2.47,55.08,62.33
111,B,2.13,39.87,43.82
112,A,2.95,56.53,54.65
113,A,5.57,41.18,42.16
114,B,1.29,59.51,63.94
115,B,4.42,41.95,47.15
116,A,3.53,39.05,38.94
117,A,2.08,37.28,40.32
118,B,4.79,50.52,57.37
119,B,4.27,42.48,43.53
120,A,3.13,63.9,66.47
121,A,1.02,42.17,35.28
122,B,3.16,47.8,52.85
123,A,2.03,55.06,55.55
124,A,3.69,45.87,50.83
125,A,2.8,51.84,53.8
126,A,3.16,54.53,56.49
127,B,3.99,53.88,55.33
128,B,3.85,49.36,53.15
129,B,2.49,63.11,67.3
130,A,2.93,60.97,58.39
131,A,2.51,47.31,50.0
132,A,3.27,38.24,39.48
133,A,2.69,46.19,48.69
134,A,3.99,45.19,47.96
135,B,4.93,46.67,53.13
136,B,4.48,55.32,63.13
137,B,2.69,46.89,52.79
138,B,3.23,46.69,51.28
139,B,3.95,57.72,65.5
140,A,2.06,62.15,63.36
141,B,4.43,38.01,39.46
142,B,5.31,50.58,54.14
143,A,2.46,40.38,43.11
144,B,3.05,51.13,55.26
145,A,2.97,60.7,62.95
146,A,1.71,54.03,52.07
147,A,2.79,40.19,41.85
148,A,2.56,44.48,43.64
149,A,2.76,40.22,38.79
150,A,4.13,43.65,46.72
151,B,1.45,45.69,46.56
152,B,6.5,53.86,61.96
153,A,1.01,52.52,53.29
154,A,3.09,59.38,62.58
155,A,2.86,46.63,48.42
156,B,3.65,55.92,56.86
157,B,2.5,64.49,67.57
158,A,2.89,60.9,63.84
159,B,3.31,59.05,60.3
160,A,2.2,65.46,68.98
161,B,4.25,49.85,56.87
162,B,3.83,53.78,60.84
163,B,2.46,50.58,56.35
164,B,0.5,55.9,59.2
165,B,4.52,48.43,53.31
166,A,3.29,48.54,46.02
167,A,4.23,55.16,56.59
168,B,4.81,50.75,55.67
169,A,3.83,45.94,47.25
