participant_id,group,hours,measurement_before,measurement_after
1,B,3.86,48.52,58.37
2,A,3.22,46.77,48.67
3,B,2.96,69.85,75.19
4,B,5.24,45.29,51.63
5,A,2.99,45.59,47.1
6,B,3.13,48.77,52.6
7,B,2.48,58.23,60.06
8,B,5.18,50.77,55.65
9,B,2.14,57.28,62.5
10,A,3.52,41.12,42.12
11,A,6.16,43.7,46.79
12,B,5.74,52.12,60.75
13,B,2.29,47.55,50.39
14,A,3.49,48.05,50.78
15,B,5.93,56.14,63.47
16,B,2.88,60.78,63.41
17,B,1.89,41.86,44.9
18,A,1.79,32.62,36.8
19,B,2.52,40.71,45.06
20,A,3.1,32.56,36.6
21,A,2.51,60.91,65.39
22,A,1.56,50.02,50.2
23,A,3.93,48.62,54.14
24,A,2.49,50.46,53.43
25,A,2.56,44.55,42.2
26,A,4.77,55.45,63.76
27,A,2.9,49.73,51.16
28,A,2.23,55.44,56.21
29,A,4.38,57.31,57.88
30,A,2.83,49.36,54.32
31,A,4.2,58.55,61.63
32,A,2.76,54.36,56.13
33,A,4.4,28.18,33.89
34,B,4.12,49.32,55.66
35,B,1.16,56.56,58.8
36,A,5.31,45.48,51.43
37,A,5.46,50.82,53.02
38,B,2.62,51.76,54.01
39,B,4.24,52.05,59.14
40,A,3.72,64.15,69.38
41,B,2.49,53.16,55.66
42,A,1.72,64.15,64.82
43,A,4.3,54.96,60.68
44,A,2.71,37.03,38.4
45,A,1.6,45.85,46.49
46,B,3.85,52.04,59.14
47,A,2.6,46.27,50.33
48,B,3.6,46.36,51.48
49,B,3.76,55.09,66.39
50,B,4.52,57.5,66.38
51,A,2.12,35.2,38.53
52,A,3.13,43.68,42.78
53,A,4.06,45.61,53.67
54,A,2.14,51.45,47.88
55,A,2.39,34.58,40.74
56,A,3.35,37.22,40.44
57,B,2.82,58.08,61.39
58,B,3.31,35.06,39.59
59,A,2.06,45.85,47.12
60,B,2.7,43.0,46.67
61,B,2.93,51.74,57.55
62,B,3.95,34.14,36.28
63,A,1.94,56.22,54.56
64,B,4.16,33.53,36.03
65,B,3.85,41.19,44.96
66,B,4.11,35.77,43.54
67,A,3.06,53.18,54.86
68,A,1.72,57.05,58.1
69,B,4.31,58.91,67.94
70,B,2.62,54.15,56.23
71,B,2.96,63.51,71.87
72,B,4.28,60.65,67.98
73,A,3.83,44.35,46.13
74,B,1.11,45.25,47.21
75,A,4.01,45.98,50.25
76,B,1.67,31.51,34.39
77,B,2.32,57.39,63.64
78,A,1.96,75.0,77.2
79,B,2.77,32.56,37.93
80,B,4.54,40.17,46.02
81,B,1.64,40.28,45.21
82,B,3.42,40.24,42.08
83,A,4.27,46.49,51.87
84,A,2.67,30.13,32.88
85,B,2.04,52.0,51.54
86,A,4.26,47.05,47.64
87,B,5.36,43.33,52.6
88,B,4.29,54.69,61.83
89,A,3.58,55.74,58.89
90,A,3.41,38.81,40.37
91,B,2.36,33.09,35.2
92,A,3.69,53.97,59.15
93,B,2.02,61.95,65.91
94,A,3.85,37.04,40.36
95,B,1.74,47.81,50.3
96,B,2.01,56.82,63.8
97,B,3.02,71.28,76.04
98,B,4.14,36.64,41.36
99,B,3.53,45.57,50.21
100,A,4.25,56.7,59.78
101,A,2.07,49.03,49.8
102,A,5.27,57.07,64.48
103,B,3.95,42.24,49.69
104,A,4.23,53.26,57.39
105,A,3.39,56.98,60.42
106,A,3.98,47.44,47.42
107,A,2.8,49.22,48.29
108,A,2.9,45.51,49.29
109,A,2.74,55.84,56.83
110,B,3.19,40.57,47.26
111,A,1.7,53.82,52.44
112,B,2.57,55.92,61.85
113,A,4.79,46.05,55.61
114,B,2.14,53.12,55.85
115,B,4.71,59.25,61.31
116,A,3.7,50.29,53.67
117,B,4.08,61.7,66.53
118,A,3.42,41.19,41.25
119,B,2.0,47.74,46.83
120,B,3.91,35.53,37.7
121,A,3.03,44.59,49.93
122,B,3.59,48.26,55.15
123,A,2.28,58.01,60.38
124,A,4.45,39.69,40.72
125,A,2.2,49.72,52.86
126,B,4.37,62.75,68.43
127,A,3.87,58.62,62.2
128,A,3.42,40.55,46.09
129,A,3.86,63.33,63.47
130,B,2.99,53.2,58.8
131,A,2.87,54.86,51.43
132,A,4.03,49.84,54.37
133,A,1.75,48.84,51.09
134,A,4.01,49.13,55.13
135,B,3.82,58.63,65.12
136,B,4.05,60.75,62.11
137,B,3.9,37.93,43.47
138,B,2.56,36.83,41.21
139,B,4.98,42.56,47.43
140,B,2.98,51.21,55.64
141,A,1.4,75.0,73.64
142,A,3.85,49.2,49.12
143,B,4.4,41.26,47.62
144,A,2.3,43.54,43.76
145,B,2.96,51.52,58.69
146,A,6.18,64.3,67.83
147,B,1.65,65.23,71.37
148,B,1.74,42.72,43.36
149,B,1.85,45.66,45.87
150,B,4.71,35.66,42.03
151,A,2.63,51.79,53.74
152,A,4.65,55.64,60.16
153,A,3.77,48.15,50.94
154,B,3.95,38.77,46.31
155,B,6.0,61.59,70.24
156,A,3.3,52.32,55.47
157,B,4.1,58.65,61.84
158,B,3.83,63.65,68.01
159,B,3.71,44.44,48.52
160,B,5.08,39.44,47.35
161,B,0.95,46.12,49.18
162,B,4.97,42.43,42.81
163,A,1.18,66.86,66.91
164,B,1.22,48.97,49.54
165,A,1.91,47.27,46.28
166,B,4.37,51.26,58.75
167,A,4.18,54.71,56.85
168,B,2.61,42.91,47.69
169,A,6.5,44.17,45.65
170,A,1.2,38.23,39.7
171,A,1.62,49.47,50.67
172,B,3.16,42.18,47.6
173,A,2.02,46.45,46.6
174,B,4.04,44.72,51.49
175,A,3.27,47.88,47.9
176,A,3.03,43.13,43.41
177,B,2.69,52.03,54.24
178,A,3.18,57.39,59.68
179,B,3.71,37.34,44.49
180,B,3.25,63.51,70.83
181,A,3.8,42.7,44.32
182,A,3.12,48.36,48.74
183,A,2.67,46.77,50.94
184,B,5.12,64.05,69.89
185,A,3.31,28.4,28.08
186,A,2.28,51.91,53.7
187,B,3.37,54.7,61.83
188,A,3.66,54.74,58.47
189,B,2.85,56.16,62.19
190,A,2.68,40.32,42.09
191,B,2.41,44.27,49.96
192,B,3.01,45.67,52.65
193,A,4.25,60.5,62.51
194,A,1.3,47.6,46.96
195,A,3.87,50.82,54.2
196,B,3.91,67.29,74.17
197,A,2.77,51.93,55.89
198,A,3.96,68.21,73.75
199,B,0.5,51.68,52.55
200,A,3.38,60.08,58.16
201,A,2.17,65.76,67.92
202,A,3.3,54.01,57.66
203,A,4.32,47.11,49.14
204,A,3.63,52.12,53.12
205,A,0.76,60.74,63.16
206,B,4.2,48.72,57.99
207,B,3.6,54.22,57.52
208,B,4.34,45.34,52.62
209,A,2.78,48.15,50.74
210,A,2.93,56.48,58.25
211,B,3.43,43.73,46.65
212,A,4.6,43.27,43.54
213,A,3.55,56.71,57.39
214,A,2.9,53.6,55.34
215,A,2.65,44.57,48.13
216,B,2.2,50.76,52.4
217,B,4.97,51.2,53.74
218,A,4.75,49.31,54.75
219,A,5.2,51.35,56.54
220,B,4.89,53.07,59.66
221,A,1.13,69.87,67.43
222,A,2.99,35.04,39.75
223,B,4.52,52.19,61.12
224,B,2.5,55.96,59.99
225,A,5.75,48.69,51.89
226,A,3.19,68.38,70.21
227,B,3.18,45.25,49.85
228,A,4.04,62.07,66.45
229,B,2.91,53.96,56.66
230,A,1.31,54.1,56.25
231,B,3.98,50.68,57.38
232,A,1.8,44.19,45.78
233,A,1.57,42.46,40.51
234,A,4.94,36.9,40.02
