participant_id,group,hours,measurement_before,measurement_after
1,B,5.09,41.97,42.87
2,B,3.41,48.68,52.37
3,A,2.2,54.1,58.98
4,A,1.56,58.07,60.96
5,A,3.49,54.3,57.19
6,A,2.36,50.87,53.19
7,B,3.64,47.55,51.58
8,A,4.37,52.72,51.0
9,B,3.8,37.86,42.86
10,B,2.67,49.75,51.93
11,A,0.5,60.02,65.93
12,B,4.17,53.73,61.37
13,B,4.0,36.38,37.86
14,B,5.14,41.29,38.87
15,A,3.79,61.06,64.14
16,B,2.49,55.3,62.78
17,B,2.73,43.4,45.15
18,B,3.3,45.99,48.84
19,B,2.06,41.36,44.71
20,B,1.55,63.5,69.19
21,A,3.35,52.77,51.55
22,A,3.29,43.71,42.93
23,B,3.55,50.88,55.55
24,A,3.76,39.65,39.4
25,A,1.13,52.35,51.61
26,B,3.67,47.9,50.27
27,B,4.04,50.52,50.19
28,B,3.62,56.82,62.39
29,B,3.05,40.03,45.75
30,A,3.73,54.29,54.2
31,B,3.72,51.67,53.98
32,A,3.36,45.18,46.71
33,B,2.22,51.54,53.75
34,B,4.97,38.79,41.03
35,A,2.76,65.63,68.07
36,A,4.02,53.43,57.41
37,B,2.71,45.98,48.67
38,A,2.15,36.88,42.36
39,A,2.29,50.09,54.51
40,A,3.02,55.56,56.65
41,B,1.97,40.82,52.24
42,B,3.88,60.49,61.18
43,B,3.6,63.03,62.48
44,A,2.71,56.37,61.99
45,A,3.06,57.78,56.11
46,A,0.5,48.22,57.48
47,B,5.94,56.45,52.14
48,A,2.14,40.36,40.54
49,B,2.99,59.92,66.91
50,B,2.91,59.61,65.24
51,A,1.44,52.33,56.75
52,B,2.04,47.96,52.96
53,B,2.38,44.63,50.93
54,A,2.28,60.47,65.11
55,B,1.79,32.32,36.01
56,B,1.91,57.99,66.02
57,A,3.11,48.54,50.92
58,A,3.82,58.58,62.61
59,B,5.97,44.03,41.98
60,A,3.45,44.18,45.72
61,B,2.0,42.17,46.78
62,A,2.74,69.95,67.63
63,A,4.0,51.55,52.04
64,B,3.2,47.12,51.14
65,A,2.98,70.1,68.99
66,A,4.4,74.36,74.83
67,A,4.17,65.87,66.45
68,A,3.0,48.87,49.84
69,B,1.49,55.42,59.52
70,A,3.02,44.44,43.07
71,A,4.27,50.65,51.9
72,A,1.94,35.7,37.3
73,A,1.01,41.71,42.39
74,B,1.58,60.29,66.19
75,A,2.93,37.12,43.42
76,B,3.1,48.42,55.63
77,B,1.36,52.76,58.23
78,A,1.42,48.38,52.48
79,B,4.93,48.93,46.41
80,B,3.77,41.26,42.85
81,B,2.33,43.74,46.16
82,A,2.93,37.95,41.35
83,B,4.14,53.08,56.67
84,A,2.36,35.24,36.83
85,A,2.69,34.28,38.09
86,B,3.07,36.47,40.95
87,B,3.38,50.15,58.25
88,B,3.4,51.17,55.81
89,A,2.71,46.01,52.1
90,A,5.1,52.9,52.16
91,B,3.38,47.77,52.78
92,B,4.43,45.36,53.24
93,A,4.45,50.22,47.28
94,B,4.2,57.96,58.75
95,B,3.89,50.73,53.7
96,A,3.55,45.02,44.87
97,A,3.27,38.83,37.46
98,A,4.57,61.1,58.42
99,B,2.57,50.38,59.27
100,B,0.5,66.06,72.03
101,B,4.31,32.65,36.77
102,B,2.93,46.22,47.52
103,B,3.72,50.58,58.23
104,A,3.11,57.79,62.26
105,A,2.41,42.26,44.34
106,B,5.43,65.13,66.67
107,B,3.12,55.85,59.88
108,A,4.32,42.28,42.64
109,A,1.6,52.04,55.21
110,A,3.18,43.65,45.0
111,B,3.14,49.88,54.61
112,B,4.17,37.9,37.73
113,B,3.04,50.36,54.02
114,B,4.4,37.15,43.71
115,B,3.23,71.48,76.46
116,A,4.0,54.67,57.62
117,B,2.38,61.0,66.22
118,A,2.6,47.69,52.51
119,A,4.26,38.68,35.53
120,B,4.89,43.68,44.83
121,B,4.61,48.2,50.83
122,B,3.38,41.64,44.62
123,B,3.09,56.53,60.84
124,A,5.88,46.71,42.58
125,A,3.28,45.79,47.94
126,A,3.93,55.32,57.98
127,A,2.91,34.03,37.62
128,B,3.63,35.04,44.83
129,B,3.14,44.25,46.72
130,A,3.05,52.73,54.89
131,A,4.33,45.85,47.79
132,A,3.96,39.43,43.75
133,B,3.61,52.35,58.28
134,B,2.91,47.34,51.75
135,B,2.13,53.16,59.59
136,A,4.0,47.2,48.87
137,A,3.36,46.06,52.66
138,A,2.08,42.29,47.3
139,B,3.75,52.9,56.74
140,A,2.78,52.46,52.44
141,A,2.8,63.1,66.69
142,B,1.38,47.91,54.83
143,A,0.5,52.52,60.51
144,B,1.74,50.73,59.53
145,A,4.69,72.72,70.14
146,A,2.12,53.14,55.75
147,A,2.05,42.45,48.16
148,A,2.94,45.15,45.92
149,A,5.74,39.17,37.78
150,B,3.26,45.53,48.39
151,B,4.27,50.23,52.36
152,A,2.5,49.86,54.9
153,A,3.84,41.23,42.57
154,B,2.27,46.3,53.39
155,B,3.27,52.44,51.44
156,B,2.27,48.08,51.13
157,B,4.48,44.36,48.79
158,B,2.97,67.17,73.14
159,B,3.2,44.84,49.95
160,A,3.2,54.93,58.17
161,A,4.36,46.5,45.12
162,A,4.41,52.06,55.37
163,A,3.27,52.73,56.95
164,A,2.19,45.9,48.46
165,B,4.81,40.77,43.06
166,A,3.12,54.6,57.48
167,A,3.09,53.77,53.04
168,A,3.11,41.57,38.89
169,A,4.36,41.47,41.28
170,A,3.48,49.82,56.35
