participant_id,group,hours,measurement_before,measurement_after
1,B,3.0,49.87,52.89
2,B,3.13,59.51,63.17
3,A,2.53,40.83,45.73
4,A,3.75,53.09,53.5
5,B,1.75,43.52,42.66
6,A,2.5,41.42,48.52
7,B,4.04,33.79,29.05
8,A,4.63,48.86,52.15
9,A,2.61,54.18,59.09
10,A,0.95,67.31,67.85
11,B,6.5,56.66,61.83
12,A,3.82,35.12,44.69
13,B,2.95,39.82,48.21
14,B,3.28,62.23,64.05
15,A,3.09,59.91,65.19
16,B,1.29,58.69,61.53
17,A,3.94,48.96,52.06
18,A,0.5,56.26,63.0
19,A,1.4,44.34,47.7
20,B,1.37,56.19,65.54
21,A,3.61,41.82,45.23
22,A,2.85,68.64,73.62
23,B,3.76,49.23,52.53
24,A,1.87,50.31,60.15
25,A,3.93,36.8,38.95
26,A,1.8,49.9,51.93
27,B,3.4,50.99,57.14
28,B,5.14,42.46,43.43
29,A,0.83,45.22,46.35
30,A,5.19,65.73,63.31
31,B,1.64,56.07,60.58
32,A,2.24,48.11,44.67
33,B,3.91,55.38,52.69
34,A,4.3,51.41,54.76
35,B,3.12,41.55,50.79
36,B,3.4,49.2,52.55
37,A,1.0,50.61,58.18
38,B,3.96,66.52,67.82
39,A,3.76,52.91,48.26
40,A,1.79,50.21,47.58
41,A,2.41,48.4,52.93
42,A,5.74,60.65,67.24
43,A,2.26,53.02,54.79
44,B,3.63,74.48,75.31
45,B,4.41,45.03,49.71
46,A,2.02,52.12,53.3
47,B,3.58,51.61,58.64
48,A,3.32,40.39,38.16
49,A,4.28,27.86,30.36
50,B,3.65,44.02,47.66
51,A,2.32,49.38,60.0
52,A,5.41,53.43,57.81
53,A,0.73,60.07,64.02
54,B,2.07,50.33,49.39
55,A,1.96,48.31,61.54
56,A,5.11,50.15,55.35
57,B,3.3,46.12,50.31
58,A,3.45,48.77,48.51
59,A,2.02,44.23,46.17
60,A,4.05,53.83,59.62
61,B,3.47,46.22,47.51
62,B,3.66,51.61,59.31
63,A,2.91,61.43,69.31
64,A,0.5,55.18,60.07
65,B,1.5,48.68,52.95
66,A,3.02,52.9,66.32
67,A,2.05,50.54,51.06
68,B,3.82,46.01,46.62
69,A,3.27,56.02,57.34
70,B,1.53,58.3,63.88
71,B,3.04,55.22,53.42
72,B,2.45,64.98,79.17
73,A,3.21,50.61,53.63
74,B,5.11,38.93,40.98
75,B,4.0,50.71,52.42
76,B,1.17,54.86,59.59
77,A,4.14,57.68,63.59
78,A,2.99,48.57,50.56
79,B,1.79,37.56,45.1
80,A,2.48,52.74,52.93
81,A,3.5,65.5,69.23
82,A,1.24,46.88,48.32
83,B,2.32,51.93,54.49
84,A,3.04,55.91,55.92
85,B,0.65,50.99,57.21
86,A,2.25,38.06,41.56
87,B,0.94,56.98,58.0
88,B,1.6,51.98,57.59
89,B,2.0,52.9,55.31
90,A,3.33,56.98,60.56
91,B,1.69,51.46,56.71
92,B,2.72,52.72,59.84
93,B,2.57,53.67,57.33
94,A,5.0,39.08,42.16
95,B,4.25,46.18,48.93
96,A,2.53,55.49,62.95
97,B,3.84,51.26,56.27
98,B,1.41,63.78,69.76
99,B,2.1,57.45,64.15
100,B,2.55,66.23,69.57
101,B,3.87,50.41,55.5
102,B,3.11,42.49,42.26
103,A,3.01,56.46,51.55
104,B,2.63,66.04,75.92
105,B,4.31,55.31,58.2
106,B,5.15,62.73,64.66
107,B,4.24,47.64,53.7
108,A,5.06,41.19,43.62
109,A,2.89,48.06,52.23
110,A,4.26,40.93,44.89
111,A,3.26,40.66,42.84
112,A,3.41,51.27,57.57
113,B,1.49,54.08,53.41
114,A,2.29,61.95,67.75
115,B,3.37,57.49,68.35
116,A,1.65,34.06,37.47
117,B,3.28,46.73,52.81
118,B,3.39,52.41,60.65
119,B,2.77,43.11,43.29
120,A,2.73,44.89,42.9
121,A,2.12,45.52,54.12
122,A,2.16,40.34,41.98
123,B,6.3,45.76,44.23
124,A,3.8,52.07,52.66
125,A,3.34,57.4,59.1
126,B,3.99,57.04,65.85
127,B,0.91,47.5,55.98
128,B,5.86,48.9,57.96
129,A,4.22,52.36,54.52
130,A,4.42,53.14,54.84
131,A,4.57,43.18,43.63
132,A,2.06,39.39,40.53
133,B,3.45,54.73,52.28
134,B,2.46,63.41,69.02
135,A,5.63,54.65,62.48
136,B,2.05,51.25,54.34
137,A,2.73,43.4,54.59
138,A,3.05,48.68,50.75
139,A,3.82,42.23,46.55
140,A,3.57,34.72,45.45
141,A,0.5,42.36,50.19
142,B,3.91,42.5,49.19
143,B,0.95,30.03,31.58
144,A,3.81,32.26,37.37
145,A,3.11,47.18,56.96
146,A,2.11,41.87,47.09
147,A,2.81,50.1,52.81
148,B,4.2,62.59,65.82
149,B,2.15,53.01,54.78
150,B,4.18,50.18,55.39
